timestamp_utc,timestamp_local,weekday,hour,minute,is_holiday,is_school_holiday,uid,name,currentfill,freespace,maxspace,fill_ratio
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,IMBAD-1,Adliswil,0,2000,2000,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,WEYERMANNSHAUS-1,Bern,1,3499,3500,0.0003
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,MARZILI-1,Bern,44,14955,14999,0.0029
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,WYLERBAD-1,Bern,10,2490,2500,0.004
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,BADI-1,Enge,20,34,54,0.3704
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,FREIBAD-1,Entfelden,0,1300,1300,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,flb6939,Flussbad Oberer Letten,0,1000,1000,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,flb6940,Flussbad Unterer Letten,0,800,800,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,flb6941,Frauenbad Stadthausquai,80,270,350,0.2286
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,fb006,Freibad Allenmoos,1,2499,2500,0.0004
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,fb008,Freibad Auhof,0,2001,2001,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,fb012,Freibad Heuried,5,2595,2600,0.0019
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,LETZI-1,Freibad Letzigraben,19,3781,3800,0.005
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-11,Freibad Seebach,0,2000,2000,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,fb018,Freibad Zwischen den Hölzern,0,2000,2000,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-1,Hallenbad Altstetten,0,0,0,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-2,Hallenbad Blaesi,0,70,70,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-3,Hallenbad Bungertwies,20,50,70,0.2857
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-4,Hallenbad City,43,177,220,0.1955
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-6,Hallenbad Leimbach,4,76,80,0.05
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-7,Hallenbad Oerlikon,48,152,200,0.24
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-8,Josel-Areal,3,197,200,0.015
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,LIDO-1,Luzern,0,3500,3500,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,RISCH-1,Rotkreuz,1,599,600,0.0017
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-10,Seebad Utoquai,170,630,800,0.2125
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,seb6946,Strandbad Mythenquai,4556,-56,4500,1.0124
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,seb6947,Strandbad Tiefenbrunnen,0,3500,3500,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,seb6948,Strandbad Wollishofen,0,700,700,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,SSD-5,Waermebad Kaeferberg,0,70,70,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,WEN-1,Wengen,0,70,70,0.0
2026-05-01T18:11:27+00:00,2026-05-01T20:11:27+02:00,Friday,20,11,True,True,HUENENBERG-1,Zug,0,1000,1000,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,IMBAD-1,Adliswil,0,2000,2000,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,WEYERMANNSHAUS-1,Bern,3,3497,3500,0.0009
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,MARZILI-1,Bern,44,14955,14999,0.0029
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,WYLERBAD-1,Bern,10,2490,2500,0.004
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,BADI-1,Enge,9,45,54,0.1667
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,FREIBAD-1,Entfelden,0,1300,1300,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,flb6939,Flussbad Oberer Letten,0,1000,1000,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,flb6940,Flussbad Unterer Letten,0,800,800,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,flb6941,Frauenbad Stadthausquai,40,310,350,0.1143
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,fb006,Freibad Allenmoos,1,2499,2500,0.0004
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,fb008,Freibad Auhof,0,2001,2001,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,fb012,Freibad Heuried,5,2595,2600,0.0019
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,LETZI-1,Freibad Letzigraben,0,3800,3800,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,SSD-11,Freibad Seebach,0,2000,2000,0.0
2026-05-01T21:10:39+00:00,2026-05-01T23:10:39+02:00,Friday,23,10,True,True,fb018,Freibad Zwischen den Hölzern,0,2000,2000,0.0
